"ZIP","pm25","STATE"
"00012",11.7201375542862,"CA"
"00014",3.10920207127508,"AZ"
"00015",1.90575073288499,"AZ"
"00016",12.4443124272889,"CA"
"00017",11.3408762431968,"CA"
"00018",8.62491272971968,"CA"
"00019",5.79615530632554,"CA"
"00020",9.51891339495848,"CA"
"00022",5.85045106232147,"CA"
"00026",12.8037683982551,"CA"
"00027",5.30652089662624,"CO"
"00028",10.0143913965883,"CA"
"00029",8.11862770210083,"CA"
"00031",7.15373237256585,"CA"
"00032",4.4577664181672,"CA"
"00033",10.3587650532167,"CA"
"00034",5.22897656682607,"CA"
"00035",4.38186213014527,"CA"
"00037",5.26129156718795,"CA"
"00038",7.28150921618758,"CA"
"00039",5.24047721470429,"CA"
"00040",8.62181209502081,"CA"
"00041",12.1169803789216,"FL"
"00042",7.65305326476664,"FL"
"00043",12.330188136232,"FL"
"00044",5.54169899424296,"CA"
"00045",6.43793798342207,"FL"
"00047",5.56916250392904,"CA"
"00048",4.6790904310922,"CA"
"00049",5.70101847390426,"CA"
"00050",5.56589884662314,"CA"
"00051",5.71898343530177,"CA"
"00052",5.63361558662773,"CA"
"00053",14.8277541865416,"FL"
"00054",4.97126421595577,"CA"
"00055",5.00242437196258,"CA"
"00056",16.892371455879,"ID"
"00057",6.48618890883361,"CA"
"00058",9.15257171837815,"CA"
"00059",5.99854615818906,"MN"
"00060",5.28849837171997,"MN"
"00061",12.5560511103009,"CA"
"00063",8.75864746198963,"MT"
"00064",3.46682868891112,"NM"
"00065",8.86826735617043,"CA"
"00066",3.07157554487901,"NM"
"00067",10.0860309037964,"OK"
"00068",4.41601178653976,"OR"
"00069",5.11344960496538,"OR"
"00070",2.72604989229473,"OR"
"00071",8.11624627805823,"UT"
"00072",3.20452709695915,"WA"
"00073",7.35019809800046,"WA"
"00074",3.76835990579338,"WA"
"00076",2.69140719423244,"WA"
"00077",5.16502178629781,"OR"
"00084",6.61931114585044,"NC"
"00087",8.78978333176932,"FL"
"00097",11.5304258755567,"FL"
"00098",12.024765453701,"FL"
"00100",12.405541963241,"UT"
"00116",8.3127135011439,"LA"
"00119",5.46618402361612,"LA"
"00121",6.02011013388664,"LA"
"00125",3.34056420794139,"ME"
"00126",3.98497573276637,"ME"
"00127",3.65021050922121,"ME"
"00128",3.68566238196184,"ME"
"00130",3.71802818094605,"ME"
"00132",3.48649835401184,"ME"
"00133",3.90840790038761,"ME"
"00134",3.59451316927933,"ME"
"00135",3.49439867132645,"ME"
"00137",2.63701421083863,"ME"
"00138",2.83795559837443,"ME"
"00139",3.24402973264426,"ME"
"00141",3.21522148271973,"ME"
"00148",2.65279458979643,"ME"
"00151",3.13316349943413,"ME"
"00152",8.56470737038647,"MD"
"00158",4.23306785049705,"MA"
"00160",4.74264685083386,"MN"
"00161",5.11511854139049,"MN"
"00164",4.88989882861302,"MN"
"00165",5.22019128913702,"MN"
"00166",5.50920598556895,"MN"
"00168",2.19853547121259,"NH"
"00172",2.15338816858744,"NH"
"00173",2.41613166949328,"NH"
"00174",2.38517543294686,"NH"
"00176",2.2321310165402,"NH"
"00177",2.85162389202006,"NH"
"00179",2.64884234759183,"NH"
"00180",2.14468224841684,"NH"
"00181",2.63824887399697,"NH"
"00182",3.32104779468452,"NH"
"00183",2.68335365427438,"NH"
"00184",2.58742270123906,"NH"
