"ZIP","pm25","STATE"
"00012",9.39879357007143,"CA"
"00014",3.57193897886441,"AZ"
"00015",1.87039640439415,"AZ"
"00016",11.7197973231832,"CA"
"00017",10.5550838964946,"CA"
"00018",6.32050124945659,"CA"
"00019",3.78104734256339,"CA"
"00020",9.01898918603326,"CA"
"00022",6.19616447831693,"CA"
"00026",12.1686999911233,"CA"
"00027",5.88474502894407,"CO"
"00028",6.23158245677447,"CA"
"00029",7.27854019633065,"CA"
"00031",6.58457455001615,"CA"
"00032",5.08351649438505,"CA"
"00033",8.19645285339021,"CA"
"00034",5.78777351758473,"CA"
"00035",3.85942663657623,"CA"
"00037",5.44333245797808,"CA"
"00038",6.86510859654003,"CA"
"00039",5.4547265301771,"CA"
"00040",7.79432789729749,"CA"
"00041",13.031510671464,"FL"
"00042",10.8129286560977,"FL"
"00043",11.8676689910218,"FL"
"00044",4.96386625624967,"CA"
"00045",11.539225887916,"FL"
"00047",5.60804131344388,"CA"
"00048",5.0907837581078,"CA"
"00049",5.75098088698612,"CA"
"00050",4.81007943188265,"CA"
"00051",5.25674787617495,"CA"
"00052",5.24697173512899,"CA"
"00053",16.2172386419615,"FL"
"00054",4.29892939975865,"CA"
"00055",4.65091380119848,"CA"
"00056",9.93026552480094,"ID"
"00057",7.36002553931924,"CA"
"00058",8.12598638565652,"CA"
"00059",4.63008056484974,"MN"
"00060",3.65592984844151,"MN"
"00061",12.5028587001882,"CA"
"00063",10.1115272716056,"MT"
"00064",2.89846218836405,"NM"
"00065",6.13173087075423,"CA"
"00066",3.63653051630266,"NM"
"00067",12.7120215129491,"OK"
"00068",4.32483695932686,"OR"
"00069",4.14755748072743,"OR"
"00070",2.02728921547262,"OR"
"00071",8.56013926343564,"UT"
"00072",1.75695764307062,"WA"
"00073",4.25020906815713,"WA"
"00074",2.67119362600278,"WA"
"00076",1.8110926725663,"WA"
"00077",3.13141496816964,"OR"
"00084",6.40071180178861,"NC"
"00087",12.2529308998504,"FL"
"00097",12.1345371241906,"FL"
"00098",11.178666293529,"FL"
"00100",12.4821303530287,"UT"
"00116",12.9072398106233,"LA"
"00119",10.9389810381081,"LA"
"00121",10.4188479323213,"LA"
"00125",5.03762925975446,"ME"
"00126",4.94857255254012,"ME"
"00127",5.21251705607156,"ME"
"00128",4.87555922700006,"ME"
"00130",5.28134332926477,"ME"
"00132",4.89791752898129,"ME"
"00133",5.0370672970247,"ME"
"00134",5.17660539272955,"ME"
"00135",4.94116615553938,"ME"
"00137",4.28102886781647,"ME"
"00138",4.37148148486998,"ME"
"00139",4.7018626968135,"ME"
"00141",4.5511555074911,"ME"
"00148",4.25543393729772,"ME"
"00151",4.69930375428789,"ME"
"00152",6.77361877848998,"MD"
"00158",4.19384679116555,"MA"
"00160",3.09260290206112,"MN"
"00161",3.54061911001215,"MN"
"00164",3.58256759683596,"MN"
"00165",3.64490330775615,"MN"
"00166",4.46961029993426,"MN"
"00168",4.13696517613569,"NH"
"00172",3.7687185174684,"NH"
"00173",4.10799198460861,"NH"
"00174",4.06107730581467,"NH"
"00176",3.93767092280572,"NH"
"00177",4.43939022688858,"NH"
"00179",4.06521434847754,"NH"
"00180",3.81875924861179,"NH"
"00181",4.18952955437023,"NH"
"00182",4.88012944546281,"NH"
"00183",4.46427043740815,"NH"
"00184",4.40469937827648,"NH"
"00185",4.26127272185236,"NH"
"00188",9.83818657066669,"TX"
"00195",2.7224261033885,"WA"
"00197",4.22332429211558,"AZ"
"00199",2.80630661389498,"AZ"
"00501",5.06278938900831,"NY"
"00544",5.06278938900831,"NY"
"01001",4.23381280939713,"MA"
"01002",4.65122353842865,"MA"
"01003",4.6608517243403,"MA"
"01004",5.08175836910283,"MA"
"01005",4.59801190643192,"MA"
"01007",4.32164193225792,"MA"
"01008",3.53452967269034,"MA"
"01009",4.16929297549931,"MA"
"01010",4.51085801578547,"MA"
"01011",3.25298054650289,"MA"
"01012",3.45319932364836,"MA"
"01013",4.99802934267904,"MA"
"01014",4.81683821413354,"MA"
"01020",3.3618508649223,"MA"
"01021",2.88583542683936,"MA"
"01022",2.91569564789938,"MA"
"01026",3.43648164252777,"MA"
"01027",3.7478985588975,"MA"
"01028",4.22518345056454,"MA"
"01029",3.27764885484383,"MA"
"01030",4.16413919320582,"MA"
"01031",4.70832942724282,"MA"
"01032",3.3821652572576,"MA"
"01033",3.56194566578718,"MA"
"01034",3.77743973590985,"MA"
"01035",4.36201537788429,"MA"
"01036",4.17883558811462,"MA"
"01037",4.34173893843271,"MA"
"01038",4.32564942629427,"MA"
"01039",3.84753931889501,"MA"
"01040",3.91988134421277,"MA"
"01041",3.84588628617877,"MA"
"01050",3.69830074635182,"MA"
"01053",3.63762902511399,"MA"
"01054",4.05029152547528,"MA"
"01056",3.48507024521991,"MA"
"01057",4.27109027701186,"MA"
"01059",4.9923176158629,"MA"
"01060",4.60494974294862,"MA"
"01061",4.25827744376421,"MA"
"01062",3.77466971115021,"MA"
"01063",4.2056057419601,"MA"
"01066",4.63006456134547,"MA"
"01068",4.93017582936539,"MA"
"01069",4.55788576519293,"MA"
"01070",3.20558837313658,"MA"
"01071",3.95471060787934,"MA"
"01072",4.49345156576089,"MA"
"01073",3.59960175230828,"MA"
"01074",4.85373150374369,"MA"
"01075",3.83485594640717,"MA"
"01077",4.28110497516815,"MA"
"01079",5.59003344145519,"MA"
"01080",4.36963940998305,"MA"
"01081",4.36571008937655,"MA"
"01082",4.80171934522906,"MA"
"01083",5.0714327128891,"MA"
"01084",3.43501250545585,"MA"
"01085",4.00455741170219,"MA"
"01086",5.00419311563929,"MA"
"01088",4.56388273004304,"MA"
"01089",3.78497807951877,"MA"
"01090",5.30553490790657,"MA"
"01092",4.77755239253152,"MA"
"01093",4.50685580268662,"MA"
"01094",4.52593999760195,"MA"
"01095",3.6895416671744,"MA"
"01096",3.65441230687865,"MA"
"01097",4.73383485145185,"MA"
"01098",3.31524923783432,"MA"
"01101",4.68319984961392,"MA"
"01102",4.68319984961392,"MA"
"01103",4.14645077728177,"MA"
"01104",4.7897279192355,"MA"
"01105",3.84131966125272,"MA"
"01106",4.2983356853185,"MA"
"01107",4.64118648886294,"MA"
"01108",4.08094773041742,"MA"
"01109",3.90414174359011,"MA"
"01111",3.61413709637027,"MA"
"01115",4.75527169048703,"MA"
"01116",4.03591225045867,"MA"
"01118",3.96715877033278,"MA"
"01119",4.12250258280763,"MA"
"01128",4.01518737940442,"MA"
"01129",3.68615037459748,"MA"
"01138",3.97438745368181,"MA"
"01139",3.33618571733515,"MA"
"01144",4.75527169048703,"MA"
"01151",3.88153546608946,"MA"
"01152",3.07974951389505,"MA"
"01199",3.22237805023531,"MA"
"01201",2.95789572401402,"MA"
"01202",2.31459097647433,"MA"
"01203",2.31459097647433,"MA"
"01220",2.9735723924066,"MA"
"01222",4.03466181828683,"MA"
"01223",2.80846496360165,"MA"
"01224",3.33329816255938,"MA"
"01225",2.96511125180308,"MA"
"01226",2.92204798836867,"MA"
"01227",3.05670048769797,"MA"
"01229",2.74332356679427,"MA"
"01230",3.23548646604897,"MA"
"01235",2.95143473310979,"MA"
"01236",2.70931463812931,"MA"
"01237",2.81865524807065,"MA"
"01238",3.1042831759931,"MA"
"01240",2.80912397823562,"MA"
"01242",3.10222169941086,"MA"
"01243",3.03816536416531,"MA"
"01244",3.7736272629471,"MA"
"01245",3.08899898369392,"MA"
"01247",2.83380523005254,"MA"
"01252",3.11426837366203,"MA"
"01253",3.09762515588847,"MA"
"01254",2.73269505549154,"MA"
"01255",3.51007800146665,"MA"
"01256",2.84081606386261,"MA"
"01257",3.67400179559438,"MA"
"01258",3.37944172384774,"MA"
