"ZIP","pm25","STATE"
"00012",0.302227248540163,"CA"
"00014",0.776949109005407,"AZ"
"00015",0.0936515350222764,"AZ"
"00016",0.899990865593865,"CA"
"00017",0.427498693074131,"CA"
"00018",2.16543153130848,"CA"
"00019",1.42759550412519,"CA"
"00020",0.242956037686553,"CA"
"00022",1.15784614472196,"CA"
"00026",0.898695523027508,"CA"
"00027",1.40269628086815,"CO"
"00028",0.736418535111679,"CA"
"00029",0.712802761102564,"CA"
"00031",0.268730961932264,"CA"
"00032",0.765450544343731,"CA"
"00033",0.963814883760849,"CA"
"00034",0.68858637112158,"CA"
"00035",0.730827593907724,"CA"
"00037",0.43832898880861,"CA"
"00038",1.23812379951383,"CA"
"00039",0.723725277940625,"CA"
"00040",0.167545944009383,"CA"
"00041",8.24578947664445,"FL"
"00042",10.2835848707088,"FL"
"00043",5.7041332380554,"FL"
"00044",0.15852247011212,"CA"
"00045",9.12630379987548,"FL"
"00047",0.8025964142621,"CA"
"00048",0.833582988250274,"CA"
"00049",0.937254713212405,"CA"
"00050",1.0349190099284,"CA"
"00051",0.431601672555627,"CA"
"00052",0.225442477946864,"CA"
"00053",11.8470062013074,"FL"
"00054",1.24592409682634,"CA"
"00055",0.728314352067737,"CA"
"00056",4.59232270547322,"ID"
"00057",8.26461984684838,"CA"
"00058",0.119843393438363,"CA"
"00059",6.50895202311957,"MN"
"00060",5.52382319704045,"MN"
"00061",15.1781856536073,"CA"
"00063",9.5062935737994,"MT"
"00064",1.37096582565006,"NM"
"00065",0.369908788959527,"CA"
"00066",1.24142334861696,"NM"
"00067",7.30335046102371,"OK"
"00068",4.06168342840451,"OR"
"00069",0.579625674172362,"OR"
"00070",0.356216204275993,"OR"
"00071",0.0514575646549804,"UT"
"00072",0.354963629802095,"WA"
"00073",6.47661418860542,"WA"
"00074",2.23573914290235,"WA"
"00076",0.245745174972963,"WA"
"00077",0.525243074846514,"OR"
"00084",6.85259319234677,"NC"
"00087",10.8227810235335,"FL"
"00097",5.95548814956713,"FL"
"00098",6.06954937007947,"FL"
"00100",0.375317452161917,"UT"
"00116",12.6514603520701,"LA"
"00119",8.78492311701161,"LA"
"00121",7.54479169280604,"LA"
"00125",6.97112501935069,"ME"
"00126",6.35411417577491,"ME"
"00127",7.99856705876232,"ME"
"00128",8.11724686242369,"ME"
"00130",8.52816287441302,"ME"
"00132",7.29291432606565,"ME"
"00133",9.26266703351474,"ME"
"00134",8.38002592273931,"ME"
"00135",7.47196862217715,"ME"
"00137",5.8892520433794,"ME"
"00138",5.67670962144382,"ME"
"00139",7.998059993473,"ME"
"00141",5.70083872669423,"ME"
"00148",5.95026772123302,"ME"
"00151",7.97209393714985,"ME"
"00152",8.53434250607809,"MD"
"00158",5.97669855424725,"MA"
"00160",6.67960222072931,"MN"
"00161",7.94537848727043,"MN"
"00164",3.23716338462367,"MN"
"00165",2.35960968140392,"MN"
"00166",4.14738947044635,"MN"
"00168",3.52580961158517,"NH"
"00172",3.91466894552262,"NH"
"00173",2.46491998771042,"NH"
"00174",2.97166501352066,"NH"
"00176",2.54760521761266,"NH"
"00177",1.79590893343468,"NH"
"00179",2.64300855941389,"NH"
"00180",2.00619650300168,"NH"
"00181",4.20842052710765,"NH"
"00182",3.06566853197763,"NH"
"00183",2.37218461605428,"NH"
"00184",2.9052669980353,"NH"
"00185",6.47647466423772,"NH"
"00188",9.31055366786227,"TX"
"00195",13.0617901781561,"WA"
"00197",0.944861935071617,"AZ"
"00199",1.62241643913276,"AZ"
"00501",7.93694714401035,"NY"
"00544",7.93694714401035,"NY"
"01001",10.8996496965633,"MA"
"01002",10.5589826097052,"MA"
"01003",12.7420150802807,"MA"
"01004",11.8458381171182,"MA"
"01005",8.55565295964224,"MA"
"01007",10.5189718122818,"MA"
"01008",8.7557097305313,"MA"
"01009",11.0001204245523,"MA"
"01010",10.3811766312901,"MA"
"01011",8.39511563959522,"MA"
"01012",9.15713165312413,"MA"
"01013",11.2728744834182,"MA"
"01014",10.5478471389002,"MA"
"01020",10.9743929563862,"MA"
"01021",8.65259278215707,"MA"
"01022",10.1713381577328,"MA"
"01026",8.86289454230358,"MA"
"01027",9.85730008460605,"MA"
"01028",9.65435120520839,"MA"
"01029",10.2822232337769,"MA"
"01030",11.2048732749202,"MA"
"01031",9.40698655994004,"MA"
"01032",8.35313658634385,"MA"
"01033",10.634468737017,"MA"
"01034",8.54627451114519,"MA"
"01035",12.6954008095589,"MA"
"01036",9.37602042408126,"MA"
"01037",8.847909191374,"MA"
"01038",12.4043534829404,"MA"
"01039",10.4352812271081,"MA"
"01040",11.5753424482284,"MA"
"01041",10.5355863902536,"MA"
"01050",8.67986749986366,"MA"
"01053",10.1950124984421,"MA"
"01054",10.1702331043199,"MA"
"01056",10.5974636763924,"MA"
"01057",9.83217330331847,"MA"
"01059",13.5574342571034,"MA"
"01060",11.7529770059473,"MA"
"01061",11.4765047841215,"MA"
"01062",10.9624150189008,"MA"
"01063",11.1341314200086,"MA"
"01066",11.0936249670426,"MA"
"01068",8.45122843413663,"MA"
"01069",10.9701433027398,"MA"
"01070",8.67795265619782,"MA"
"01071",8.20438344119664,"MA"
"01072",8.83079102315442,"MA"
"01073",10.7507374023253,"MA"
"01074",10.2459987761533,"MA"
"01075",11.2406628072409,"MA"
"01077",10.2855577766132,"MA"
"01079",12.6050655031061,"MA"
"01080",11.5517440389386,"MA"
"01081",9.18826025876357,"MA"
"01082",10.7869494031236,"MA"
"01083",10.3533134743703,"MA"
"01084",8.75001383888326,"MA"
"01085",10.4981736578205,"MA"
"01086",12.196363443018,"MA"
"01088",11.3922154940459,"MA"
