"ZIP","pm25","STATE"
"00012",1.05095336924489,"CA"
"00014",3.74211688131887,"AZ"
"00015",3.2876264723775,"AZ"
"00016",1.33784580313999,"CA"
"00017",0.875859713409413,"CA"
"00018",1.06063591506713,"CA"
"00019",3.0296104412043,"CA"
"00020",0.89418902028016,"CA"
"00022",2.8834054583816,"CA"
"00026",0.768814520449535,"CA"
"00027",1.72044345014881,"CO"
"00028",2.1293092344464,"CA"
"00029",2.0773531524201,"CA"
"00031",1.72354668900656,"CA"
"00032",1.50867049740595,"CA"
"00033",2.65844320643604,"CA"
"00034",1.3244706378976,"CA"
"00035",2.73051976312323,"CA"
"00037",1.09444702443719,"CA"
"00038",4.13084615750416,"CA"
"00039",2.39413151522339,"CA"
"00040",0.898142831813572,"CA"
"00041",7.53628611183442,"FL"
"00042",8.87339925108118,"FL"
"00043",12.8019840265221,"FL"
"00044",0.663848168088673,"CA"
"00045",7.1583141396472,"FL"
"00047",2.21005835241905,"CA"
"00048",2.69946672185531,"CA"
"00049",1.75212189720066,"CA"
"00050",1.36251357448217,"CA"
"00051",1.12021640421492,"CA"
"00052",0.651936102424199,"CA"
"00053",7.04972239513023,"FL"
"00054",3.0026595089117,"CA"
"00055",0.974660355792932,"CA"
"00056",7.54246989881222,"ID"
"00057",4.35098237701245,"CA"
"00058",0.843286137072521,"CA"
"00059",4.6332742330422,"MN"
"00060",4.45588456593575,"MN"
"00061",4.8707726245857,"CA"
"00063",8.07898134379979,"MT"
"00064",3.63546171079077,"NM"
"00065",0.948218418356458,"CA"
"00066",2.92421262186583,"NM"
"00067",3.90121818897267,"OK"
"00068",4.5415930629574,"OR"
"00069",2.34236799664802,"OR"
"00070",2.19575976385443,"OR"
"00071",1.76620770312517,"UT"
"00072",0.795767772827369,"WA"
"00073",10.4675511796646,"WA"
"00074",5.25512950353863,"WA"
"00076",0.433928810983404,"WA"
"00077",2.28092116787961,"OR"
"00084",3.04025065122914,"NC"
"00087",9.46821124848084,"FL"
"00097",11.592941682016,"FL"
"00098",14.2726466542543,"FL"
"00100",4.16582599522265,"UT"
"00116",7.76355461186125,"LA"
"00119",5.02661648600544,"LA"
"00121",5.8797718401211,"LA"
"00125",2.35552673308497,"ME"
"00126",3.10781150621025,"ME"
"00127",2.56114582773692,"ME"
"00128",2.97548208872216,"ME"
"00130",2.85235023591666,"ME"
"00132",2.6571567095261,"ME"
"00133",3.19202888791677,"ME"
"00134",2.83679991996434,"ME"
"00135",2.38330910903046,"ME"
"00137",2.16439574909839,"ME"
"00138",2.34508968386262,"ME"
"00139",2.52892567076694,"ME"
"00141",2.66117342602152,"ME"
"00148",2.38992557110228,"ME"
"00151",2.91719163149589,"ME"
"00152",4.00633248646337,"MD"
"00158",1.37355136816141,"MA"
"00160",4.14399333245017,"MN"
"00161",4.63096479954441,"MN"
"00164",2.03320605403032,"MN"
"00165",1.58628043569597,"MN"
"00166",2.18292546528357,"MN"
"00168",1.76158532927917,"NH"
"00172",2.04268129058286,"NH"
"00173",1.36629990323904,"NH"
"00174",1.31022360492412,"NH"
"00176",1.38113242315723,"NH"
"00177",1.03865957780323,"NH"
"00179",1.06630246685994,"NH"
"00180",1.02055340012587,"NH"
"00181",1.87659825122184,"NH"
"00182",1.44912428897532,"NH"
"00183",1.21533832313853,"NH"
"00184",1.6066357550458,"NH"
"00185",2.61063458375053,"NH"
"00188",6.7349974772724,"TX"
"00195",14.1517898582827,"WA"
"00197",27.3740495221395,"AZ"
"00199",42.0699821022714,"AZ"
"00501",3.12417126575772,"NY"
"00544",3.12417126575772,"NY"
"01001",3.28969381159119,"MA"
"01002",2.24849405019307,"MA"
"01003",3.46403864598814,"MA"
"01004",3.22110715359601,"MA"
"01005",2.34846038327943,"MA"
"01007",2.24553909708488,"MA"
"01008",1.91811902359998,"MA"
"01009",2.11091502536048,"MA"
"01010",2.39239543497675,"MA"
"01011",1.76329940180003,"MA"
"01012",2.08935336053346,"MA"
"01013",3.22134630722968,"MA"
"01014",2.86295409860989,"MA"
"01020",2.83221096007536,"MA"
"01021",3.61481279085813,"MA"
"01022",2.45694278047663,"MA"
"01026",2.26730203023555,"MA"
"01027",2.17959904324117,"MA"
"01028",2.73518685483622,"MA"
"01029",3.11870136606834,"MA"
"01030",3.03993987251638,"MA"
"01031",2.42623566051288,"MA"
"01032",2.32522919656239,"MA"
"01033",2.47217148276977,"MA"
"01034",1.86371922479665,"MA"
"01035",3.20309917936376,"MA"
"01036",2.21681484017403,"MA"
"01037",2.24684692683694,"MA"
"01038",3.31399439699113,"MA"
"01039",2.03887339762403,"MA"
"01040",2.86474170933634,"MA"
"01041",3.57255222247303,"MA"
"01050",1.56542010382953,"MA"
"01053",2.10489821414904,"MA"
"01054",1.87558061026295,"MA"
"01056",2.60638327139452,"MA"
"01057",2.08348019836842,"MA"
"01059",3.09081135777411,"MA"
